val, freq
0, 0
1, 100
2, 199
3, 199
4, 199
5, 199
6, 0
7, 199
8, 199
9, 199
10, 199
11, 199
12, 199
13, 0
14, 199
15, 199
16, 199
17, 199
18, 199
19, 0
20, 199
21, 199
22, 199
23, 199
24, 199
25, 199
26, 0
27, 199
28, 199
29, 199
30, 199
31, 199
32, 199
33, 0
34, 199
35, 199
36, 199
37, 199
38, 199
39, 0
40, 199
41, 199
42, 199
43, 199
44, 199
45, 199
46, 0
47, 199
48, 199
49, 199
50, 199
51, 199
52, 0
53, 199
54, 199
55, 199
56, 199
57, 199
58, 199
59, 0
60, 199
61, 199
62, 199
63, 199
64, 199
65, 199
66, 0
67, 199
68, 199
69, 199
70, 199
71, 199
72, 0
73, 199
74, 199
75, 199
76, 199
77, 199
78, 199
79, 0
80, 199
81, 199
82, 199
83, 199
84, 199
85, 0
86, 199
87, 199
88, 199
89, 199
90, 199
91, 199
92, 0
93, 199
94, 199
95, 199
96, 199
97, 199
98, 199
99, 0
100, 199
101, 199
102, 199
103, 199
104, 199
105, 0
106, 199
107, 199
108, 199
109, 199
110, 199
111, 199
112, 0
113, 199
114, 199
115, 199
116, 199
117, 199
118, 0
119, 199
120, 199
121, 199
122, 199
123, 199
124, 199
125, 0
126, 199
127, 199
128, 199
129, 199
130, 199
131, 199
132, 0
133, 199
134, 199
135, 199
136, 199
137, 199
138, 0
139, 199
140, 199
141, 199
142, 199
143, 199
144, 199
145, 0
146, 199
147, 199
148, 199
149, 199
150, 199
151, 199
152, 0
153, 199
154, 199
155, 199
156, 199
157, 199
158, 0
159, 199
160, 199
161, 199
162, 199
163, 199
164, 199
165, 0
166, 199
167, 199
168, 199
169, 199
170, 199
171, 0
172, 199
173, 199
174, 199
175, 199
176, 199
177, 199
178, 0
179, 199
180, 199
181, 199
182, 199
183, 199
184, 199
185, 0
186, 199
187, 199
188, 199
189, 199
190, 199
191, 0
192, 199
193, 199
194, 199
195, 199
196, 199
197, 199
198, 0
199, 199
200, 199
201, 199
202, 199
203, 199
204, 0
205, 199
206, 199
207, 199
208, 199
209, 199
210, 199
211, 0
212, 199
213, 199
214, 199
215, 199
216, 199
217, 199
218, 0
219, 199
220, 199
221, 199
222, 199
223, 199
224, 0
225, 199
226, 199
227, 199
228, 199
229, 199
230, 199
231, 0
232, 199
233, 200
234, 100
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
